From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)
A0A225AYW8	A0A225AYW8	unreviewed	A0A225AYW8_9EURO	ATP-binding cassette sub-family D member 2	UA08_05333	Talaromyces atroroseus	811	fatty acid beta-oxidation [GO:0006635]; long-chain fatty acid import into peroxisome [GO:0015910]; peroxisome organization [GO:0007031]; very long-chain fatty acid catabolic process [GO:0042760]	peroxisomal membrane [GO:0005778]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; long-chain fatty acid transmembrane transporter activity [GO:0005324]; fatty acid beta-oxidation [GO:0006635]; long-chain fatty acid import into peroxisome [GO:0015910]; peroxisome organization [GO:0007031]; very long-chain fatty acid catabolic process [GO:0042760]	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; long-chain fatty acid transmembrane transporter activity [GO:0005324]
A0A225AMU6	A0A225AMU6	unreviewed	A0A225AMU6_9EURO	FCP1 homology domain-containing protein	UA08_05332	Talaromyces atroroseus	521		phosphatase activity [GO:0016791]	phosphatase activity [GO:0016791]
A0A364LEB2	A0A364LEB2	unreviewed	A0A364LEB2_TALAM	Uncharacterized protein	BHQ10_010134	Talaromyces amestolkiae	211			
A0A225AG84	A0A225AG84	unreviewed	A0A225AG84_9EURO	D-xylose reductase [NAD(P)H] (EC 1.1.1.307)	UA08_05330	Talaromyces atroroseus	320	D-xylose catabolic process [GO:0042843]	D-xylose reductase (NADPH) activity [GO:0032866]; D-xylose catabolic process [GO:0042843]	D-xylose reductase (NADPH) activity [GO:0032866]
A0A225AVN7	A0A225AVN7	unreviewed	A0A225AVN7_9EURO	Regulatory protein abaA	UA08_05329	Talaromyces atroroseus	825	conidium formation [GO:0048315]	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; conidium formation [GO:0048315]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
A0A225AQY1	A0A225AQY1	unreviewed	A0A225AQY1_9EURO	Multiple RNA-binding domain-containing protein 1	UA08_05328	Talaromyces atroroseus	829	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; small-subunit processome assembly [GO:0034462]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; mRNA binding [GO:0003729]; rRNA primary transcript binding [GO:0042134]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; small-subunit processome assembly [GO:0034462]	mRNA binding [GO:0003729]; rRNA primary transcript binding [GO:0042134]
A0A225B1I1	A0A225B1I1	unreviewed	A0A225B1I1_9EURO	Dynein light chain	UA08_05327	Talaromyces atroroseus	87	establishment of mitotic spindle localization [GO:0040001]; nuclear migration along microtubule [GO:0030473]; nuclear pore complex assembly [GO:0051292]	cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; meiotic spindle pole body [GO:0035974]; nuclear periphery [GO:0034399]; peroxisomal importomer complex [GO:1990429]; dynein intermediate chain binding [GO:0045505]; plus-end-directed microtubule motor activity [GO:0008574]; establishment of mitotic spindle localization [GO:0040001]; nuclear migration along microtubule [GO:0030473]; nuclear pore complex assembly [GO:0051292]	dynein intermediate chain binding [GO:0045505]; plus-end-directed microtubule motor activity [GO:0008574]
A0A6V8HI60	A0A6V8HI60	unreviewed	A0A6V8HI60_TALPI	Heterokaryon incompatibility domain-containing protein	TCE0_041f13760	Talaromyces pinophilus (Penicillium pinophilum)	696			
A0A1Q5Q689	A0A1Q5Q689	unreviewed	A0A1Q5Q689_9EURO	Ubiquitin-like protease family profile domain-containing protein	UA08_09507	Talaromyces atroroseus	613	proteolysis [GO:0006508]	cysteine-type peptidase activity [GO:0008234]; ubiquitin-like protein peptidase activity [GO:0019783]; proteolysis [GO:0006508]	cysteine-type peptidase activity [GO:0008234]; ubiquitin-like protein peptidase activity [GO:0019783]
A0A6V8GZT2	A0A6V8GZT2	unreviewed	A0A6V8GZT2_TALPI	O-methyltransferase domain-containing protein	TCE0_015f01661	Talaromyces pinophilus (Penicillium pinophilum)	402	methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]	O-methyltransferase activity [GO:0008171]; methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]	O-methyltransferase activity [GO:0008171]
B8M5B1	B8M5B1	unreviewed	B8M5B1_TALSN	DNA 3'-5' helicase (EC 5.6.2.4)	TSTA_029880	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	534	double-strand break repair via homologous recombination [GO:0000724]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; double-strand break repair via homologous recombination [GO:0000724]	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]
A0A6V8H889	A0A6V8H889	unreviewed	A0A6V8H889_TALPI	Midasin	TCE0_024f07599	Talaromyces pinophilus (Penicillium pinophilum)	5409	ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]	nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]
A0AAD4KXB9	A0AAD4KXB9	unreviewed	A0AAD4KXB9_9EURO	Clr5 domain-containing protein	BGW36DRAFT_447798	Talaromyces proteolyticus	700		cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
A0A093VIL6	A0A093VIL6	unreviewed	A0A093VIL6_TALMA	Altered inheritance of mitochondria protein 9, mitochondrial (Found in mitochondrial proteome protein 29)	GQ26_0180190	Talaromyces marneffei PM1	435		mitochondrion [GO:0005739]	
A0A225AMV1	A0A225AMV1	unreviewed	A0A225AMV1_9EURO	Methyltransferase domain-containing protein	UA08_07872	Talaromyces atroroseus	353	methylation [GO:0032259]	mitochondrion [GO:0005739]; methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]; methylation [GO:0032259]	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]
A0A364L8A3	A0A364L8A3	unreviewed	A0A364L8A3_TALAM	Small ribosomal subunit protein uS10m (EC 6.1.1.2) (37S ribosomal protein S10, mitochondrial) (Mitochondrial ribosomal small subunit protein 10) (Tryptophanyl-tRNA synthetase)	BHQ10_008057	Talaromyces amestolkiae	932	mitochondrial tryptophanyl-tRNA aminoacylation [GO:0070183]; proteolysis [GO:0006508]	mitochondrial matrix [GO:0005759]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; structural constituent of ribosome [GO:0003735]; tryptophan-tRNA ligase activity [GO:0004830]; mitochondrial tryptophanyl-tRNA aminoacylation [GO:0070183]; proteolysis [GO:0006508]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; structural constituent of ribosome [GO:0003735]; tryptophan-tRNA ligase activity [GO:0004830]
A0A364KNP1	A0A364KNP1	unreviewed	A0A364KNP1_TALAM	SH3 domain-containing protein	BHQ10_001176	Talaromyces amestolkiae	819	regulation of mRNA splicing, via spliceosome [GO:0048024]	spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; regulation of mRNA splicing, via spliceosome [GO:0048024]	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
A0A364L8B0	A0A364L8B0	unreviewed	A0A364L8B0_TALAM	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	BHQ10_008058	Talaromyces amestolkiae	317	nucleoside metabolic process [GO:0009116]	cytoplasm [GO:0005737]; purine-nucleoside phosphorylase activity [GO:0004731]; nucleoside metabolic process [GO:0009116]	purine-nucleoside phosphorylase activity [GO:0004731]
A0A225AIF6	A0A225AIF6	unreviewed	A0A225AIF6_9EURO	Fcf2 pre-rRNA processing C-terminal domain-containing protein	UA08_07877	Talaromyces atroroseus	227	RNA processing [GO:0006396]	nucleolus [GO:0005730]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	RNA binding [GO:0003723]
A0A225ATW7	A0A225ATW7	unreviewed	A0A225ATW7_9EURO	Histone H2A/H2B/H3 domain-containing protein	UA08_07878	Talaromyces atroroseus	263		CCAAT-binding factor complex [GO:0016602]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
A0A225AME0	A0A225AME0	unreviewed	A0A225AME0_9EURO	Exocyst complex component SEC15	UA08_07879	Talaromyces atroroseus	768	Golgi to plasma membrane transport [GO:0006893]; intracellular protein transport [GO:0006886]; vesicle tethering involved in exocytosis [GO:0090522]	exocyst [GO:0000145]; membrane [GO:0016020]; Golgi to plasma membrane transport [GO:0006893]; intracellular protein transport [GO:0006886]; vesicle tethering involved in exocytosis [GO:0090522]	
A0A225A9M3	A0A225A9M3	unreviewed	A0A225A9M3_9EURO	RRM domain-containing protein	UA08_07880	Talaromyces atroroseus	604		RNA binding [GO:0003723]	RNA binding [GO:0003723]
A0A225A851	A0A225A851	unreviewed	A0A225A851_9EURO	GPI ethanolamine phosphate transferase 2	UA08_07882	Talaromyces atroroseus	812	GPI anchor biosynthetic process [GO:0006506]	endoplasmic reticulum membrane [GO:0005789]; CP2 mannose-ethanolamine phosphotransferase activity [GO:0051267]; GPI anchor biosynthetic process [GO:0006506]	CP2 mannose-ethanolamine phosphotransferase activity [GO:0051267]
A0A225AQP2	A0A225AQP2	unreviewed	A0A225AQP2_9EURO	E3 SUMO-protein ligase pli1	UA08_07883	Talaromyces atroroseus	511	protein sumoylation [GO:0016925]	chromatin [GO:0000785]; SUMO ligase activity [GO:0061665]; zinc ion binding [GO:0008270]; protein sumoylation [GO:0016925]	SUMO ligase activity [GO:0061665]; zinc ion binding [GO:0008270]
A0A225AP49	A0A225AP49	unreviewed	A0A225AP49_9EURO	Trafficking protein particle complex subunit 6B	UA08_07884	Talaromyces atroroseus	161	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	cis-Golgi network [GO:0005801]; trans-Golgi network [GO:0005802]; TRAPP complex [GO:0030008]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	
A0A093UPX3	A0A093UPX3	unreviewed	A0A093UPX3_TALMA	malate dehydrogenase (EC 1.1.1.37)	GQ26_0510200	Talaromyces marneffei PM1	573	malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]; L-malate dehydrogenase (NAD+) activity [GO:0030060]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	L-malate dehydrogenase (NAD+) activity [GO:0030060]
A0A364L8N7	A0A364L8N7	unreviewed	A0A364L8N7_TALAM	Uncharacterized protein	BHQ10_008073	Talaromyces amestolkiae	125		membrane [GO:0016020]	
A0A225ACW1	A0A225ACW1	unreviewed	A0A225ACW1_9EURO	RRM domain-containing protein	UA08_07887	Talaromyces atroroseus	351	positive regulation of mRNA splicing, via spliceosome [GO:0048026]	nucleolus [GO:0005730]; precatalytic spliceosome [GO:0071011]; U2 snRNP [GO:0005686]; RNA binding [GO:0003723]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]	RNA binding [GO:0003723]
A0AAD4Q4U9	A0AAD4Q4U9	unreviewed	A0AAD4Q4U9_9EURO	Major facilitator superfamily domain-containing protein	BGW36DRAFT_393750	Talaromyces proteolyticus	523		plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A1Q5Q9I5	A0A1Q5Q9I5	unreviewed	A0A1Q5Q9I5_9EURO	Cyanovirin-N domain-containing protein	UA08_04376	Talaromyces atroroseus	136			
A0A225AFC0	A0A225AFC0	unreviewed	A0A225AFC0_9EURO	Uncharacterized protein	UA08_07888	Talaromyces atroroseus	328		mitochondrial inner membrane [GO:0005743]; FAD transmembrane transporter activity [GO:0015230]	FAD transmembrane transporter activity [GO:0015230]
A0A225AFS3	A0A225AFS3	unreviewed	A0A225AFS3_9EURO	C2H2-type domain-containing protein	UA08_07889	Talaromyces atroroseus	588		zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
A0A225AR55	A0A225AR55	unreviewed	A0A225AR55_9EURO	Transcriptional repressor Tup1 N-terminal domain-containing protein	UA08_07892	Talaromyces atroroseus	583			
A0A225AA07	A0A225AA07	unreviewed	A0A225AA07_9EURO	Putative C-5 sterol desaturase	UA08_07893	Talaromyces atroroseus	343	lipid biosynthetic process [GO:0008610]	membrane [GO:0016020]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; lipid biosynthetic process [GO:0008610]	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]
A0A225AMW0	A0A225AMW0	unreviewed	A0A225AMW0_9EURO	Elongator complex protein 2	UA08_07894	Talaromyces atroroseus	874	protein urmylation [GO:0032447]; regulation of transcription by RNA polymerase II [GO:0006357]; tRNA wobble uridine modification [GO:0002098]	cytoplasm [GO:0005737]; elongator holoenzyme complex [GO:0033588]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; microtubule binding [GO:0008017]; sequence-specific DNA binding [GO:0043565]; protein urmylation [GO:0032447]; regulation of transcription by RNA polymerase II [GO:0006357]; tRNA wobble uridine modification [GO:0002098]	DNA-binding transcription factor activity [GO:0003700]; microtubule binding [GO:0008017]; sequence-specific DNA binding [GO:0043565]
A0A225AIG3	A0A225AIG3	unreviewed	A0A225AIG3_9EURO	Translocase of outer membrane 40 kDa subunit	UA08_07897	Talaromyces atroroseus	355	protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial outer membrane [GO:0045040]	mitochondrial outer membrane translocase complex [GO:0005742]; protein transmembrane transporter activity [GO:0008320]; protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial outer membrane [GO:0045040]	protein transmembrane transporter activity [GO:0008320]
B8MSR2	B8MSR2	unreviewed	B8MSR2_TALSN	6-phosphofructo-2-kinase, putative (EC 3.1.3.46)	TSTA_005570	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	534	fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]	cytosol [GO:0005829]; 6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]; fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]
A0A0U1M6Z6	A0A0U1M6Z6	unreviewed	A0A0U1M6Z6_TALIS	Peptidyl-prolyl cis-trans isomerase-like 1 (EC 5.2.1.8) (Rotamase)	PISL3812_08393	Talaromyces islandicus (Penicillium islandicum)	622	protein folding [GO:0006457]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
A0A225ACX0	A0A225ACX0	unreviewed	A0A225ACX0_9EURO	Protein kinase gsk3	UA08_07899	Talaromyces atroroseus	394	cell differentiation [GO:0030154]; positive regulation of chromosome segregation [GO:0051984]; positive regulation of kinetochore assembly [GO:1905561]; SREBP signaling pathway [GO:0032933]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; cell differentiation [GO:0030154]; positive regulation of chromosome segregation [GO:0051984]; positive regulation of kinetochore assembly [GO:1905561]; SREBP signaling pathway [GO:0032933]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
A0A225AFC9	A0A225AFC9	unreviewed	A0A225AFC9_9EURO	Cap binding protein	UA08_07900	Talaromyces atroroseus	858	mRNA export from nucleus [GO:0006406]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]	nuclear cap binding complex [GO:0005846]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA cap binding [GO:0000339]; mRNA export from nucleus [GO:0006406]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]	mRNA binding [GO:0003729]; RNA cap binding [GO:0000339]
A0A225AP60	A0A225AP60	unreviewed	A0A225AP60_9EURO	Replication factor C subunit 4	UA08_07908	Talaromyces atroroseus	352	DNA strand elongation involved in mitotic DNA replication [GO:1902983]; UV-damage excision repair [GO:0070914]	Ctf18 RFC-like complex [GO:0031390]; DNA replication factor C complex [GO:0005663]; Elg1 RFC-like complex [GO:0031391]; Rad17 RFC-like complex [GO:0031389]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA clamp loader activity [GO:0003689]; DNA strand elongation involved in mitotic DNA replication [GO:1902983]; UV-damage excision repair [GO:0070914]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA clamp loader activity [GO:0003689]
A0A225AME8	A0A225AME8	unreviewed	A0A225AME8_9EURO	tRNA dimethylallyltransferase (EC 2.5.1.75)	UA08_07903	Talaromyces atroroseus	475	tRNA modification [GO:0006400]	mitochondrion [GO:0005739]; ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA modification [GO:0006400]	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]
A0A225ATG3	A0A225ATG3	unreviewed	A0A225ATG3_9EURO	DUF410 domain protein	UA08_07905	Talaromyces atroroseus	346	protein insertion into ER membrane [GO:0045048]	TRC complex [GO:0072380]; protein insertion into ER membrane [GO:0045048]	
A0A225AQQ1	A0A225AQQ1	unreviewed	A0A225AQQ1_9EURO	Acid phosphatase	UA08_07907	Talaromyces atroroseus	492		phosphatase activity [GO:0016791]	phosphatase activity [GO:0016791]
A0A225ADC2	A0A225ADC2	unreviewed	A0A225ADC2_9EURO	FAD-binding FR-type domain-containing protein	UA08_07910	Talaromyces atroroseus	366		membrane [GO:0016020]; mitochondrion [GO:0005739]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
A0A225A8I2	A0A225A8I2	unreviewed	A0A225A8I2_9EURO	Homoaconitase, mitochondrial (EC 4.2.1.36) (Homoaconitate hydratase)	UA08_07911	Talaromyces atroroseus	782	lysine biosynthetic process via aminoadipic acid [GO:0019878]	mitochondrial matrix [GO:0005759]; 4 iron, 4 sulfur cluster binding [GO:0051539]; homoaconitate hydratase activity [GO:0004409]; metal ion binding [GO:0046872]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	4 iron, 4 sulfur cluster binding [GO:0051539]; homoaconitate hydratase activity [GO:0004409]; metal ion binding [GO:0046872]
A0AAD4KNW0	A0AAD4KNW0	unreviewed	A0AAD4KNW0_9EURO	Peroxisomal targeting signal receptor (Peroxin-5)	BGW36DRAFT_363214	Talaromyces proteolyticus	657	protein import into peroxisome matrix, docking [GO:0016560]	cytosol [GO:0005829]; peroxisomal membrane [GO:0005778]; peroxisome matrix targeting signal-1 binding [GO:0005052]; protein import into peroxisome matrix, docking [GO:0016560]	peroxisome matrix targeting signal-1 binding [GO:0005052]
A0A225A886	A0A225A886	unreviewed	A0A225A886_9EURO	Uncharacterized protein	UA08_07912	Talaromyces atroroseus	334		nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
A0A225AA12	A0A225AA12	unreviewed	A0A225AA12_9EURO	Checkpoint protein hus1	UA08_07913	Talaromyces atroroseus	168		membrane [GO:0016020]	
A0A7H8QM73	A0A7H8QM73	unreviewed	A0A7H8QM73_TALRU	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	TRUGW13939_02002	Talaromyces rugulosus (Penicillium rugulosum)	444	succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	mitochondrion [GO:0005739]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]
A0A225AMW8	A0A225AMW8	unreviewed	A0A225AMW8_9EURO	Cytokinesis protein sepA	UA08_07914	Talaromyces atroroseus	1806	actin filament bundle assembly [GO:0051017]; barbed-end actin filament capping [GO:0051016]; mitotic actomyosin contractile ring assembly [GO:1903475]	actin cytoskeleton [GO:0015629]; cell cortex [GO:0005938]; cell division site [GO:0032153]; mating projection tip [GO:0043332]; actin binding [GO:0003779]; small GTPase binding [GO:0031267]; actin filament bundle assembly [GO:0051017]; barbed-end actin filament capping [GO:0051016]; mitotic actomyosin contractile ring assembly [GO:1903475]	actin binding [GO:0003779]; small GTPase binding [GO:0031267]
B6QP41	B6QP41	unreviewed	B6QP41_TALMQ	Integrase catalytic domain-containing protein	PMAA_047980	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	1289	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]	nucleus [GO:0005634]; aspartic-type endopeptidase activity [GO:0004190]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]	aspartic-type endopeptidase activity [GO:0004190]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]
A0A225AIH3	A0A225AIH3	unreviewed	A0A225AIH3_9EURO	Serine-rich protein	UA08_07915	Talaromyces atroroseus	738		membrane [GO:0016020]	
B8MB99	B8MB99	unreviewed	B8MB99_TALSN	Acyl-CoA oxidase, putative	TSTA_126000	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	948		membrane [GO:0016020]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; transmembrane transporter activity [GO:0022857]	oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; transmembrane transporter activity [GO:0022857]
B8MC76	B8MC76	unreviewed	B8MC76_TALSN	Mandelate racemase/muconate lactonizing enzyme family protein	TSTA_122540	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	451	amino acid catabolic process [GO:0009063]; carbohydrate catabolic process [GO:0016052]	hydro-lyase activity [GO:0016836]; magnesium ion binding [GO:0000287]; amino acid catabolic process [GO:0009063]; carbohydrate catabolic process [GO:0016052]	hydro-lyase activity [GO:0016836]; magnesium ion binding [GO:0000287]
A0A093UTC6	A0A093UTC6	unreviewed	A0A093UTC6_TALMA	DNA-directed RNA polymerase (EC 2.7.7.6)	GQ26_0370400	Talaromyces marneffei PM1	2347	DNA-templated transcription [GO:0006351]	DNA-directed RNA polymerase complex [GO:0000428]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-directed RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-directed RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]
A0A6V8H067	A0A6V8H067	unreviewed	A0A6V8H067_TALPI	Dynactin	TCE0_015r02459	Talaromyces pinophilus (Penicillium pinophilum)	1507	nucleotide catabolic process [GO:0009166]; pyrimidine nucleobase metabolic process [GO:0006206]	dynein complex [GO:0030286]; microtubule [GO:0005874]; nucleotidase activity [GO:0008252]; nucleotide catabolic process [GO:0009166]; pyrimidine nucleobase metabolic process [GO:0006206]	nucleotidase activity [GO:0008252]
A0A6V8H0Q9	A0A6V8H0Q9	unreviewed	A0A6V8H0Q9_TALPI	Csf1 homolog	TCE0_015r02454	Talaromyces pinophilus (Penicillium pinophilum)	3234	fermentation [GO:0006113]	membrane [GO:0016020]; fermentation [GO:0006113]	
A0A7H8R553	A0A7H8R553	unreviewed	A0A7H8R553_TALRU	Origin recognition complex subunit 2	TRUGW13939_08254	Talaromyces rugulosus (Penicillium rugulosum)	554	DNA replication [GO:0006260]	nuclear origin of replication recognition complex [GO:0005664]; DNA replication origin binding [GO:0003688]; DNA replication [GO:0006260]	DNA replication origin binding [GO:0003688]
B8ME94	B8ME94	unreviewed	B8ME94_TALSN	Uncharacterized protein	TSTA_016010	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	513			
